rel_path	classification	target_surface	source_path	note
Scene/GameScene.cpp	compat-temporary	yes	decomp/src/Game/Scene/GameScene.cpp	source exists but pc-port behavior/shape differs
Scene/GameScene.hpp	compat-temporary	yes	decomp/include/Game/Scene/GameScene.hpp	source exists but pc-port behavior/shape differs
Scene/GameScenePauseControl.cpp	compat-temporary	yes	decomp/src/Game/Scene/GameScenePauseControl.cpp	source exists but pc-port behavior/shape differs
Scene/LogoScene.cpp	compat-temporary	yes	decomp/src/Game/Scene/LogoScene.cpp	source exists but pc-port behavior/shape differs
Scene/SceneFunction.hpp	compat-temporary	yes	decomp/include/Game/Scene/SceneFunction.hpp	source exists but pc-port behavior/shape differs
Scene/SceneNameObjListExecutor.cpp	compat-temporary	yes	decomp/src/Game/Scene/SceneNameObjListExecutor.cpp	source exists but pc-port behavior/shape differs
Scene/SceneNameObjMovementController.hpp	compat-temporary	yes	decomp/include/Game/Scene/SceneNameObjMovementController.hpp	source exists but pc-port behavior/shape differs
Scene/StageDataHolder.cpp	compat-temporary	yes	decomp/src/Game/Scene/StageDataHolder.cpp	source exists but pc-port behavior/shape differs
Scene/StageDataHolder.hpp	compat-temporary	yes	decomp/include/Game/Scene/StageDataHolder.hpp	source exists but pc-port behavior/shape differs
Screen/BloomEffect.cpp	compat-temporary	no	decomp/src/Game/Screen/BloomEffect.cpp	source exists but pc-port behavior/shape differs
Screen/CaptureScreenDirector.cpp	compat-temporary	yes	decomp/src/Game/Screen/CaptureScreenDirector.cpp	source exists but pc-port behavior/shape differs
Screen/CaptureScreenDirector.hpp	compat-temporary	yes	decomp/include/Game/Screen/CaptureScreenDirector.hpp	source exists but pc-port behavior/shape differs
Screen/CustomTagProcessor.cpp	compat-temporary	no	decomp/src/Game/Screen/CustomTagProcessor.cpp	source exists but pc-port behavior/shape differs
Screen/EncouragePal60Window.cpp	compat-temporary	yes	decomp/src/Game/Screen/EncouragePal60Window.cpp	source exists but pc-port behavior/shape differs
Screen/EncouragePal60Window.hpp	compat-temporary	yes	decomp/include/Game/Screen/EncouragePal60Window.hpp	source exists but pc-port behavior/shape differs
Screen/FileSelectInfo.cpp	compat-temporary	yes	decomp/src/Game/Screen/FileSelectInfo.cpp	source exists but pc-port behavior/shape differs
Screen/GalaxyMapGalaxyPlain.cpp	compat-temporary	no	decomp/src/Game/Screen/GalaxyMapGalaxyPlain.cpp	source exists but pc-port behavior/shape differs
Screen/GalaxyMapGalaxyPlain.hpp	compat-temporary	no	decomp/include/Game/Screen/GalaxyMapGalaxyPlain.hpp	source exists but pc-port behavior/shape differs
Screen/GamePauseSequence.cpp	compat-temporary	no	decomp/src/Game/Screen/GamePauseSequence.cpp	source exists but pc-port behavior/shape differs
Screen/IsbnManager.cpp	compat-temporary	no	decomp/src/Game/Screen/IsbnManager.cpp	source exists but pc-port behavior/shape differs
Screen/LayoutActor.hpp	compat-temporary	yes	decomp/include/Game/Screen/LayoutActor.hpp	source exists but pc-port behavior/shape differs
Screen/LayoutActorFlag.hpp	compat-temporary	yes	decomp/include/Game/Screen/LayoutActorFlag.hpp	source exists but pc-port behavior/shape differs
Screen/LayoutCoreUtil.cpp	compat-temporary	no	decomp/src/Game/Screen/LayoutCoreUtil.cpp	source exists but pc-port behavior/shape differs
Screen/LayoutManager.cpp	compat-temporary	yes	decomp/src/Game/Screen/LayoutManager.cpp	source exists but pc-port behavior/shape differs
Screen/LensFlare.cpp	compat-temporary	no	decomp/src/Game/Screen/LensFlare.cpp	source exists but pc-port behavior/shape differs
Screen/LensFlare.hpp	compat-temporary	no	decomp/include/Game/Screen/LensFlare.hpp	source exists but pc-port behavior/shape differs
Screen/LogoFader.cpp	compat-temporary	no	decomp/src/Game/Screen/LogoFader.cpp	source exists but pc-port behavior/shape differs
Screen/Manual2P.cpp	compat-temporary	yes	decomp/src/Game/Screen/Manual2P.cpp	source exists but pc-port behavior/shape differs
Screen/Manual2P.hpp	compat-temporary	yes	decomp/include/Game/Screen/Manual2P.hpp	source exists but pc-port behavior/shape differs
Screen/MessageTagSkipTagProcessor.cpp	compat-temporary	no	decomp/src/Game/Screen/MessageTagSkipTagProcessor.cpp	source exists but pc-port behavior/shape differs
