symbol	demangled	category	pc_archive_provider	pc_archive_status
_ZN2MR13tmpMtxRotYDegEf	MR::tmpMtxRotYDeg(float)	other Game/runtime provider	libsmg-pc-game.a[MtxCompat.cpp.o]	provided
_ZN2MR13tmpMtxRotYRadEf	MR::tmpMtxRotYRad(float)	other Game/runtime provider		not found in PC archives
_ZN2MR13tmpMtxRotZRadEf	MR::tmpMtxRotZRad(float)	other Game/runtime provider		not found in PC archives
_ZN2MR14calcActorAxisYEPN9JGeometry5TVec3IfEEPK9LiveActor	MR::calcActorAxisY(JGeometry::TVec3<float>*, LiveActor const*)	J3D/model/animation	libsmg-pc-game.a[GameActorPhysicsCompat.cpp.o]	provided
_ZN2MR14calcCubeRotateEPK7AreaObjPN9JGeometry5TVec3IfEE	MR::calcCubeRotate(AreaObj const*, JGeometry::TVec3<float>*)	J3D/model/animation		not found in PC archives
_ZN2MR14connectToSceneEP7NameObjiiii	MR::connectToScene(NameObj*, int, int, int, int)	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[SceneFunction.cpp.o]	provided
_ZN2MR14getLightNumMaxEPK9LiveActor	MR::getLightNumMax(LiveActor const*)	LiveActor/NameObj/Nerve ABI		not found in PC archives
_ZN2MR14getScreenWidthEv	MR::getScreenWidth()	other Game/runtime provider		not found in PC archives
_ZN2MR14initDLMakerFogEP9LiveActorb	MR::initDLMakerFog(LiveActor*, bool)	LiveActor/NameObj/Nerve ABI		not found in PC archives
_ZN2MR14loadActorLightEPK9LiveActor	MR::loadActorLight(LiveActor const*)	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[LiveActorUtilCompat.cpp.o]	provided
_ZN2MR14makeMtxUpFrontEPN9JGeometry10TPosition3INS0_9TMatrix34INS0_10SMatrix34CIfEEEEEERKNS0_5TVec3IfEESB_	MR::makeMtxUpFront(JGeometry::TPosition3<JGeometry::TMatrix34<JGeometry::SMatrix34C<float> > >*, JGeometry::TVec3<float> const&, JGeometry::TVec3<float> const&)	J3D/model/animation	libsmg-pc-game.a[MtxCompat.cpp.o]	provided
_ZN2MR14vecBlendSphereERKN9JGeometry5TVec3IfEES4_PS2_f	MR::vecBlendSphere(JGeometry::TVec3<float> const&, JGeometry::TVec3<float> const&, JGeometry::TVec3<float>*, float)	J3D/model/animation		not found in PC archives
_ZN2MR14vecKillElementERKN9JGeometry5TVec3IfEES4_PS2_	MR::vecKillElement(JGeometry::TVec3<float> const&, JGeometry::TVec3<float> const&, JGeometry::TVec3<float>*)	J3D/model/animation	libsmg-pc-game.a[GameMathCompat.cpp.o]	provided
_ZN2MR15extractMtxTransEPA4_fPN9JGeometry5TVec3IfEE	MR::extractMtxTrans(float (*) [4], JGeometry::TVec3<float>*)	J3D/model/animation	libsmg-pc-game.a[NPCActorRuntimeCompat.cpp.o]	provided
_ZN2MR15getRotatedAxisYEPN9JGeometry5TVec3IfEERKS2_	MR::getRotatedAxisY(JGeometry::TVec3<float>*, JGeometry::TVec3<float> const&)	J3D/model/animation		not found in PC archives
_ZN2MR15getRotatedAxisZEPN9JGeometry5TVec3IfEERKS2_	MR::getRotatedAxisZ(JGeometry::TVec3<float>*, JGeometry::TVec3<float> const&)	J3D/model/animation		not found in PC archives
_ZN2MR15isNormalTalkingEv	MR::isNormalTalking()	other Game/runtime provider		not found in PC archives
_ZN2MR15isSameDirectionERKN9JGeometry5TVec3IfEES4_f	MR::isSameDirection(JGeometry::TVec3<float> const&, JGeometry::TVec3<float> const&, float)	J3D/model/animation	libsmg-pc-game.a[NPCActorRuntimeCompat.cpp.o]	provided
_ZN2MR15normalizeOrZeroEPN9JGeometry5TVec3IfEE	MR::normalizeOrZero(JGeometry::TVec3<float>*)	J3D/model/animation	libsmg-pc-game.a[GameMathCompat.cpp.o]	provided
_ZN2MR15startLevelSoundEPK9LiveActorPKciii	MR::startLevelSound(LiveActor const*, char const*, int, int, int)	effects/audio	libsmg-pc-game.a[SoundUtilCompat.cpp.o]	provided
_ZN2MR16getWallCodeIndexEPK8Triangle	MR::getWallCodeIndex(Triangle const*)	Binder/KCL		not found in PC archives
_ZN2MR16isSensorAutoRushEPK9HitSensor	MR::isSensorAutoRush(HitSensor const*)	HitSensor	libsmg-pc-game.a[GameActorSensorCompat.cpp.o]	provided
_ZN2MR16isSensorPressObjEPK9HitSensor	MR::isSensorPressObj(HitSensor const*)	HitSensor	libsmg-pc-game.a[GameActorSensorCompat.cpp.o]	provided
